ID,原文案,对白,时长(s),角色,场景,Sora 提示词
"1","我每次买东西都只买残次品，价格越贵的越好，最好还是摔成碎片的。","","5","","","Shot 1:
duration: 3.5sec
Scene: [Extreme Close-Up, Fade In, Slow Pan] 画面从黑屏中淡入，昏暗的石板灰光线穿透阴影。微小的灰尘颗粒在极弱的冷色环境光中缓慢悬浮。楚政那双布满灰尘、皮肤粗糙的手指进入画面，小心翼翼地在黑暗中摸索，随后指尖轻轻捏起一块昂贵却已破损的瓷器碎片。指腹粗糙的纹理与瓷器冰冷、光滑且锋利的表面形成强烈的物理触感对比。音效: Crisp clinking sound of porcelain fragments colliding in the dark.

Shot 2:
duration: 4.0sec
Scene: [Macro Shot, Shallow Depth of Field, Static] 镜头景深极浅，将背景完全模糊化为一片冰蓝色的黯淡阴影。焦点精准锁定在楚政指尖夹住的瓷器碎片上，细致勾勒出参差不齐且极具危险性的锋利边缘。在昏暗的光影交错中，沿着瓷器的断裂纹理，隐约且迅速地流窜过一丝极其微弱的金色光芒，宛如流动的金缮修复液般转瞬即逝。楚政的手指在微光中保持着绝对的稳定。音效: Low, subtle hum accompanying the brief golden glow, seamlessly fading into the ambient silence."
"2","别人都在暗地里骂我是傻子，可他们不知道的是，我这么做都是为了提高实力。","","5","","","Shot 1:
duration: 6.0sec
Scene: [Over-the-Shoulder Shot, Rack Focus] 阴冷昏暗的院落一角，冷空气使得呼出的气息微微泛白，空气中悬浮着细微的尘土颗粒。画面背景处于冰冷的蓝灰色阴影中，几个身穿粗布衣衫的仆役站在一起指指点点，身形虚化，肢体动作充满嘲弄。镜头焦点起初落在背景人群上，随后平滑拉回到前景楚政的侧脸及手中的物品上。楚政保持冷静专注的面部表情，对背后的动静不为所动。一束微弱的暖光透过屋檐缝隙恰好照在楚政的面部和双手上。楚政的双手稳稳托着几片沾满泥土的瓷器碎片，大拇指缓缓划过锐利的断层面，指腹与粗糙的边缘产生细微的物理摩擦。音效: Distant muffled laughter, subtle friction of skin against rough ceramic."
"3","可就在我疯狂收集损坏的物品时，却失手打碎了大小姐珍贵的玉盏，被罚关进柴房禁食四日。","","6","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 3.5sec
Scene: [Extreme Close-up, Slow Motion] 晶莹剔透的灵玉盏重重撞击在坚硬的青石地面上。玉盏瞬间炸裂，数以百计的晶莹碎片在半空中缓慢飞溅，每一块碎片边缘都折射出冰冷的光芒。细腻的玉石粉末随着撞击的冲击波如同烟雾般向四周猛烈扩散。背景处于深邃的黑暗中，仅有微弱的光线聚焦在碎裂的瞬间，突出毁灭的物理质感。音效: Sharp, resonant shattering of pure crystal.

Shot 2:
duration: 4.5sec
Scene: [High Angle Shot, Static] 画面硬切至阴冷昏暗的柴房内部。青色砖墙布满裂缝，直棂窗外深蓝色的风雪呼啸，冷气在空气中凝结成飘浮的白色颗粒。直棂窗的阴影如同铁笼的栅栏般死死投射在冰冷的地面上。楚政失去平衡，重重跌落在铺满金黄色干草的角落里，身躯压陷干草并溅起一阵飞舞的碎屑。伴随着画外沉重的关门声，室内的光线骤然收缩，牢笼状的阴影迅速蔓延，将楚政的身影完全吞没。音效: Heavy door slamming shut, harsh metallic locking click overlapping with the fading echo of shattering jade, piercing wind howling."
"4","管事宋云看着一脸狼狈的我，大小姐发了话，禁食结束后让你去垃圾物房当差。","大小姐发了话，禁食结束后让你去垃圾物房当差","8","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Low Angle, POV, Tilt Up] 镜头模拟楚政倒在铺满金黄色干草的地面上的视角，缓慢上抬。阴暗的柴房内，青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪，冷气凝结成白色颗粒在空中缓缓飘浮。柴房大门突然敞开，门外刺眼的冷光如利刃般切入深沉的黑暗，形成强烈的明暗对比。宋云站在门槛处，背光而立，身形显得异常高大压抑。他穿着质地高级、整洁挺括的冬装，居高临下地俯视着镜头方向。宋云嘴唇微动，面容隐没在背光的阴影中。门外的狂风呼啸着卷入室内，将门框上的厚厚积雪和宋云的衣摆吹得猎猎作响，晶莹的雪尘与室内的冷气颗粒在逆光的光束中剧烈翻滚。音效: Howling wind, heavy door opening, cold and echoing voice, rustling clothes."
"5","对于奴仆来说算是彻底断了前途，他本以为我会崩溃，没想道我只是淡淡说了一句，谢大小姐恩典。","谢大小姐恩典","7","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Close-up, Camera tilts down slightly] 昏暗的冷色调室内，青色砖墙布满裂缝，直棂窗外透进深蓝色的风雪微光，冷气在空气中凝结成微小的白色颗粒缓缓悬浮。楚政站立在堆满金黄色干草的地面上，身姿依旧笔挺。摄影机微微下移，利用窗外的冷光与室内的浓重阴影，在他的侧脸形成强烈的半明半暗效果，阴影完全遮挡住他的眼神。楚政微微低头，面部肌肉放松，嘴角勾起一抹极不易察觉的平静微笑。随着他平缓的开口，温热的气息在极寒的空气中瞬间凝结化作一团白雾消散在阴影中。音效: Howling blizzard outside, calm and low male voice speaking faintly."
"6","宋云握紧拳头，仙凡有别，二小姐去了仙宗三年，一封家书都没有，你以为她还会记得你一个杂役吗，你就待在这儿吧，说完重重摔上房门。","仙凡有别，二小姐去了仙宗三年，一封家书都没有，你以为她还会记得你一个杂役吗，你就待在这儿吧","14","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [Medium Shot, Static] 青色砖墙布满裂缝，直棂窗外是深蓝色的漫天风雪，室内堆积着金黄色的干草，冷气凝结成的白色颗粒在昏暗的光线中缓缓悬浮。宋云站在半开的木门前，面容从错愕迅速转为极度的愤怒。宋云双拳紧握，手臂青筋凸起，随后猛地发力拉过厚重的木门。沉重的木门在半空中掀起强烈的气流，地面的干草屑与灰尘被瞬间卷起。木门如同铡刀般无情地切断最后一丝透入室内的光线，伴随着震耳欲聋的闭合撞击声，门框剧烈震动，大量灰尘从上方簌簌落下，画面瞬间陷入彻底的黑暗。音效: Angry breathing, violent swoosh of heavy wood, deafening door slam."
"7","但他绝对想不到，这样的安排却正合我意。","","3","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 5.0sec
Scene: [Fade In, Extreme Close-Up, Slow Pan Up] 从彻底的黑场缓慢淡入。极度幽暗的冷色调室内，冷气在空气中凝结成微小的白色悬浮颗粒。楚政在黑暗中缓缓抬起头，一道微弱的深蓝色月光透过直棂窗的缝隙漏下，精准地打在眼部，勾勒出锐利的轮廓光。瞳孔中清晰地倒映出微弱的月光。眼部肌肉因兴奋而微微颤动，呼出的温热气息在冰冷的空气中化作一缕缕白雾消散。音效: Steady but slightly accelerated breathing, distant howling blizzard.

Shot 2:
duration: 4.0sec
Scene: [Medium Shot, Slow Pull Back] 镜头缓慢后拉。楚政放松身体，向后靠在堆满金黄色干草的柴火堆上。布满裂缝的青色砖墙隐没在黑暗中，直棂窗外映照着深蓝色的漫天风雪。窗台处积着厚厚的白雪，几片雪花随冷风吹入室内，在半空中打着旋飘落。楚政的胸膛随着平稳的呼吸规律起伏，逐渐与周围幽暗压抑的环境融为一体。音效: Rustling of dry straw, cold wind blowing through window cracks."
"8","垃圾房安静且有各种损坏的物品，对我而言是个不错的去处，不过得先熬过这禁食的惩罚。","","6","","","Shot 1:
duration: 4.5sec
Scene: [Medium Shot, Slow Push-in] 阴冷昏暗的柴房内，空气中悬浮着细微的灰尘，一缕清冷的月光从缝隙洒下。楚政背靠着粗糙堆叠的木柴，胸膛随着平稳的呼吸微微起伏。随着镜头缓缓向前推进，周围的黑暗环境产生叠化（Dissolve）过渡效果，画面边缘逐渐浮现出堆积如山的破损长剑、碎裂的青铜法器等废弃物品的半透明虚影。音效: Ambient wind blowing outside, slow and steady breathing.

Shot 2:
duration: 5.0sec
Scene: [Close-up, Slow Dolly In] 镜头持续靠近楚政的脸部，背景中叠化的废弃物虚影变得愈发清晰。那些破损的物品裂缝处开始泛起隐约的金色流光，如同融化的黄金般勾勒出残破法器的轮廓，散发出温暖的金光，与柴房原本冷冽的阴影形成强烈对比。微小的金色光粒在空气中飘浮，照亮了楚政充满期待的眼神。楚政随后微微低头，单手轻轻按住腹部，衣服与木柴摩擦产生轻微的形变。音效: Ethereal resonance, soft rustling of clothes against wood."
"9","三日后，就在我快饿得不行时。","","2","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 4.5sec
Scene: [High Angle, Time-lapse] 昏暗冰冷的室内，青色砖墙布满裂缝，直棂窗外深蓝色的漫天风雪呼啸。光影在墙壁、金黄色的干草和成堆的干枯柴火上快速交替移动，表现三日的日夜流转。楚政紧紧捂着肚子蜷缩在干草与柴堆中。冷气在空气中凝结成白色颗粒，随着光影的快速闪烁而不安地飘动，干枯的柴火在光影交错中透着极致的压抑与死寂。音效: Accelerated wind howling, rapid cinematic ticking sound.

Shot 2:
duration: 4.0sec
Scene: [Close-up, Static] 光影流转突然停止，画面硬切回正常的流逝速度。冰冷的空气中悬浮着凝结的白色颗粒，窗台上的厚厚积雪散发着刺骨寒意。楚政虚弱地捂着肚子，身体在干草中微微发抖。楚政面色苍白、嘴唇干裂、头发极其凌乱，呼吸微弱而沉重，楚政饥饿枯竭的身体与身旁干枯粗糙的柴火形成强烈的视觉呼应，身下的干草在楚政颤抖的摩擦下发出声响。音效: Heavy shaky breathing, freezing wind whistling, dry straw rustling."
"10","二小姐的侍女小采却悄悄赶来，前两天大小姐看得太严了，我带来了馒头你快趁热吃。","前两天大小姐看得太严了，我带来了馒头你快趁热吃。","8","","动漫感极强的冷色调室内。青色砖墙布满裂缝，直棂窗外映照着深蓝色的漫天风雪。室内堆满金黄色的干草，光线昏暗。窗台处有一层厚厚的积雪，冷气在空气中凝结成白色颗粒。请输入环境视觉描述...","Shot 1:
duration: 6.0sec
Scene: [Medium Close-up, Slow Dolly In] 幽暗寒冷的柴房内，青色砖墙布满裂缝，地面铺满干草，空气中悬浮着微小的凝结冰霜颗粒。沉重的木门被悄悄推开一条缝隙，一道温暖的橘黄光线瞬间穿透门缝，打破原有的冰冷深蓝色调。小采探进半个身子，眼神警惕地左右飞快扫视，目光闪避绝不直视前方，她的双手捧着两个白胖的馒头递出。馒头表面散发出浓郁的白色蒸汽，高温蒸汽与周围的极寒冷空气发生物理碰撞并剧烈翻滚升腾，成为整个冷色调柴房中最醒目的视觉中心与唯一暖源。音效: Light door hinge creaking, soft breathing and rustling cloth."
